Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05551,COc1cc(F)c(-c2c(NC(=O)c3ccc(OC(F)F)cc3)c(=O)n(Cc3nnc(C)c(C)n3)n2C)c(F)c1,CN1C(=C(C(=O)N1CC(=O)NN)NC(=O)C2=CC=C(C=C2)OC(F)F)C3=C(C=C(C=C3F)OC)F
TRZ05552,Cc1nnc(-c2ccc(C(CC(F)(F)F)N=[N+]=[N-])cc2)nc1C,C1=CC(=CC=C1C(CC(F)(F)F)N=[N+]=[N-])C(=O)NN
TRZ05553,Cc1nnc(CN2CCC(c3cccc(OCc4ccc(Cl)cc4F)n3)CC2)nc1C,C1CN(CCC1C2=NC(=CC=C2)OCC3=C(C=C(C=C3)Cl)F)CC(=O)NN
TRZ05554,Cc1nnc(-c2cccc(-c3nn(Cc4ccc(F)cc4F)c4ccccc34)c2)nc1C,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)F)F)C4=CC(=CC=C4)C(=O)NN
TRZ05555,Cc1nnc(-c2nn(C)c3cccc(Nc4ccc(C(F)(F)F)cc4)c23)nc1C,CN1C2=CC=CC(=C2C(=N1)C(=O)NN)NC3=CC=C(C=C3)C(F)(F)F
TRZ05556,Cc1nnc(-c2cn(C(F)(F)F)nc2Nc2ccc(C(F)(F)F)cc2)nc1C,C1=CC(=CC=C1C(F)(F)F)NC2=NN(C=C2C(=O)NN)C(F)(F)F
TRZ05557,Cc1nnc(-c2c(Nc3ccc(C(F)(F)F)cc3)nn3ccccc23)nc1C,C1=CC2=C(C(=NN2C=C1)NC3=CC=C(C=C3)C(F)(F)F)C(=O)NN
TRZ05558,Cc1nnc(-c2cn(C)nc2Nc2ccc(C(F)(F)F)cc2)nc1C,CN1C=C(C(=N1)NC2=CC=C(C=C2)C(F)(F)F)C(=O)NN
TRZ05559,Cc1nnc(-c2nn3c(c2Nc2ccc(C(F)(F)F)cc2)CCC3)nc1C,C1CC2=C(C(=NN2C1)C(=O)NN)NC3=CC=C(C=C3)C(F)(F)F
TRZ05560,Cc1nnc(-c2c(Nc3ccc(C(F)(F)F)cc3)ccn(C)c2=O)nc1C,CN1C=CC(=C(C1=O)C(=O)NN)NC2=CC=C(C=C2)C(F)(F)F
